brand,category_id,product_id,title,price,main_price,discount,rating,link
boat,category_3,category_3_product_1,boat rockerz 255 pro plus,1299,3990,67,4.8,https://www.boat-lifestyle.com/products/boat-rockerz-255-pro-plus
boat,category_3,category_3_product_2,rockerz 110,899,2490,64,4.8,https://www.boat-lifestyle.com/products/rockerz-110
boat,category_3,category_3_product_3,rockerz 109 wireless earphone,1349,2490,46,4.7,https://www.boat-lifestyle.com/products/rockerz-109-wireless-earphone
boat,category_3,category_3_product_4,rockerz 333 pro,1199,2990,60,4.9,https://www.boat-lifestyle.com/products/rockerz-333-pro
boat,category_3,category_3_product_5,rockerz 255 anc earphone,1799,6990,74,5.0,https://www.boat-lifestyle.com/products/rockerz-255-anc-earphone
boat,category_3,category_3_product_6,rockerz 235 pro,999,1990,50,4.9,https://www.boat-lifestyle.com/products/rockerz-235-pro
boat,category_3,category_3_product_7,rockerz 195v2 pro wireless earphone,1429,3490,59,4.7,https://www.boat-lifestyle.com/products/rockerz-195v2-pro-wireless-earphone
boat,category_3,category_3_product_8,rockerz 103 v2 pro bluetooth earbuds,999,3490,71,4.8,https://www.boat-lifestyle.com/products/rockerz-103-v2-pro-bluetooth-earbuds
boat,category_3,category_3_product_9,boat rockerz 205 pro,1999,2499,20,4.9,https://www.boat-lifestyle.com/products/boat-rockerz-205-pro
boat,category_3,category_3_product_10,boat rockerz 330 pro,1199,2990,60,4.9,https://www.boat-lifestyle.com/products/boat-rockerz-330-pro
boat,category_3,category_3_product_11,rockerz 245 v2 pro bluetooth earphone,1599,3490,54,4.7,https://www.boat-lifestyle.com/products/rockerz-245-v2-pro-bluetooth-earphone
boat,category_3,category_3_product_12,rockerz prime 255z wireless neckband,1299,2990,57,4.8,https://www.boat-lifestyle.com/products/rockerz-prime-255z-wireless-neckband
boat,category_3,category_3_product_13,rockerz 103 pro in ear wireless earphones,1059,2490,57,4.9,https://www.boat-lifestyle.com/products/rockerz-103-pro-in-ear-wireless-earphones
boat,category_3,category_3_product_14,rockerz trinity gen 2 wireless neckband,1499,3290,54,4.8,https://www.boat-lifestyle.com/products/rockerz-trinity-gen-2-wireless-neckband
boat,category_3,category_3_product_15,rockerz trinity wireless neckband,1299,2499,48,4.8,https://www.boat-lifestyle.com/products/rockerz-trinity-wireless-neckband
boat,category_3,category_3_product_16,boat rockerz prime 205,1299,2990,57,4.8,https://www.boat-lifestyle.com/products/boat-rockerz-prime-205
boat,category_3,category_3_product_17,rockerz 150 pro bluetooth neckband,1299,3990,67,4.2,https://www.boat-lifestyle.com/products/rockerz-150-pro-bluetooth-neckband
boat,category_3,category_3_product_18,rockerz 261 pro,1899,5999,68,4.7,https://www.boat-lifestyle.com/products/rockerz-261-pro
boat,category_3,category_3_product_19,rockerz 202 neckband,999,2790,64,4.8,https://www.boat-lifestyle.com/products/rockerz-202-neckband
boat,category_3,category_3_product_20,rockerz 112 wireless neckband,899,2490,64,4.8,https://www.boat-lifestyle.com/products/rockerz-112-wireless-neckband
boat,category_3,category_3_product_21,boat rockerz 238 pro wireless bluetooth neckband with up to 20 hours playback beast mode enx technology,1599,1990,20,4.8,https://www.boat-lifestyle.com/products/boat-rockerz-238-pro-wireless-bluetooth-neckband-with-up-to-20-hours-playback-beast-mode-enx-technology
boat,category_3,category_3_product_22,rockerz 330,1499,2990,50,4.8,https://www.boat-lifestyle.com/products/rockerz-330
boat,category_3,category_3_product_23,boat rockerz 203 wireless neckband,999,2790,64,4.8,https://www.boat-lifestyle.com/products/boat-rockerz-203-wireless-neckband
boat,category_3,category_3_product_24,boat wireless rockerz 378,1799,2990,40,4.9,https://www.boat-lifestyle.com/products/boat-wireless-rockerz-378
