product_id,key,value
category_1_product_1,Name,boAt Airdopes Supreme
category_1_product_1,Category,Wireless Earbuds
category_1_product_1,Net Content,"1 UNIT boAt Airdopes Supreme, 1 UNIT Type-C Cable, 1 UNIT User Guide, 2 UNITS Extra Earmuffs"
category_1_product_1,Product Dimensions,35.21mm x 17.83mm x 21.37mm
category_1_product_1,MRP(Inclusive All Taxes),"₹5,990"
category_1_product_1,Country Of Origin,India
category_1_product_1,Marketed By,"Imagine Marketing Limited, Unit No. 204 & 205, 2nd floor, D-Wing & E- wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai - 400093"
category_1_product_1,Manufactured by,"Califonix Tech & Manufacturing Pvt. Ltd., B-17, Sector 85, Phase II, Noida, Gautam Buddha Nagar, Uttar Pradesh-201305, India."
category_1_product_1,For consumer complaints contact us at:,"022-6918-1920 info@imaginemarketingindia.com Imagine Marketing Limited Address: Unit No. 204&205, D-wing & E-wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai-400093"
category_1_product_1,Net Quantity,1 Unit
category_1_product_2,Name,boAt Nirvana X TWS
category_1_product_2,Category,Wireless Earbuds
category_1_product_2,Net Content,"1 Unit Pair of Earbuds, 1 Unit Case, 1 Unit Type - C Cable, 1 Unit User Guide, 2 Extra Earmuffs"
category_1_product_2,Product Dimensions,32mm x 26mm x 17mm
category_1_product_2,MRP(Inclusive All Taxes),"₹8,990"
category_1_product_2,Country Of Origin,India
category_1_product_2,Marketed By,"Imagine Marketing Limited, Unit No. 204 & 205, 2nd floor, D-Wing & E- wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai - 400093"
category_1_product_2,Manufactured by,"Califonix Tech & Manufacturing Pvt. Ltd., B-17, Sector 85, Phase II, Noida, Gautam Buddha Nagar, Uttar Pradesh-201305, India."
category_1_product_2,For consumer complaints contact us at:,"022-6918-1920 info@imaginemarketingindia.com Imagine Marketing Limited Address: Unit No. 204&205, D-wing & E-wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai-400093"
category_1_product_2,Net Quantity,1 Unit
category_1_product_3,Name,boAt Airdopes 131
category_1_product_3,Category,Wireless Earbuds
category_1_product_3,Net Content,"1 UNIT boAt Airdopes 131, 1 Unit USB Type - C Charging Cable, 1 UNIT Manual, 1 UNIT Catalogue, 1 UNIT Warranty Card"
category_1_product_3,Product Dimensions,38mm x 17.5mm x 17.5mm
category_1_product_3,MRP(Inclusive All Taxes),"₹2,990"
category_1_product_3,Country Of Origin,India
category_1_product_3,Marketed By,"Imagine Marketing Limited, Unit No. 204 & 205, 2nd floor, D-Wing & E- wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai - 400093"
category_1_product_3,Manufactured by,"Califonix Tech & Manufacturing Pvt. Ltd., B-17, Sector 85, Phase II, Noida, Gautam Buddha Nagar, Uttar Pradesh-201305, India."
category_1_product_3,For consumer complaints contact us at:,"022-6918-1920 info@imaginemarketingindia.com Imagine Marketing Limited Address: Unit No. 204&205, D-wing & E-wing, Corporate Avenue, Andheri Ghatkopar Link Road, Andheri East, Mumbai-400093"
category_1_product_3,Net Quantity,1 Unit
category_1_product_4,Name,boAt Nirvana Ion ANC
category_1_product_4,Category,Wireless Earbuds
category_1_product_4,Net Content,"1 Unit Pair of Earbuds, 1 Unit Case, 1 Unit Type - C Cable, 1 Unit User Manual, 1 Unit Warranty Card, 1 Unit Catalogue, 1 Unit FAQ Card"
